,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
1142,13247,Romania,187000000000.0,86.683,9.756,13.317,3.56,21989000.0,19197.106,422.125
1143,13248,Romania,196000000000.0,86.506,10.044,13.494,3.45,21853000.0,20049.522,438.142
1144,13249,Romania,204000000000.0,88.716,8.237,11.284,3.047,21720000.0,20194.546,438.626
1145,13250,Romania,223000000000.0,86.847,9.846,13.153,3.307,21578000.0,21045.325,454.116
1146,13251,Romania,230000000000.0,84.749,11.964,15.251,3.288,21417000.0,21219.833,454.465
1147,13252,Romania,264000000000.0,86.182,10.574,13.818,3.243,21234000.0,21857.943,464.132
1148,13253,Romania,300000000000.0,85.833,9.489,14.06,4.571,21034000.0,21298.695,447.997
1149,13254,Romania,345000000000.0,82.993,10.129,16.731,6.602,20830000.0,21549.101,448.868
1150,13255,Romania,347000000000.0,81.257,10.409,18.274,7.865,20638000.0,18994.459,392.008
1151,13256,Romania,360000000000.0,78.575,13.406,21.081,7.675,20472000.0,19287.348,394.851
1152,13257,Romania,376000000000.0,81.513,10.433,17.945,7.512,20337000.0,19926.163,405.238
1153,13258,Romania,406000000000.0,82.031,9.863,17.44,7.577,20227000.0,19270.679,389.788
1154,13259,Romania,412000000000.0,77.185,14.111,22.315,8.204,20133000.0,18010.158,362.599
1155,13260,Romania,428000000000.0,74.696,16.974,24.886,7.912,20036000.0,18743.192,375.539
1156,13261,Romania,445000000000.0,74.133,17.567,25.37,7.804,19925000.0,18937.68,377.333
1157,13262,Romania,409000000000.0,73.733,17.972,25.494,7.521,19796000.0,19062.626,377.364
1158,13263,Romania,,75.869,15.799,23.287,7.488,19654000.0,19550.344,384.242
1159,13264,Romania,,75.26,16.632,23.855,7.224,19506000.0,20067.332,391.433
1160,13265,Romania,,75.623,15.902,23.237,7.335,19365000.0,19665.135,380.815
1161,13266,Romania,,,,,,,,
1162,13367,Russia,1260000000000.0,88.587,6.354,11.413,5.059,146404992.0,49020.668,7176.87
1163,13368,Russia,1300000000000.0,88.227,6.588,11.773,5.184,145831008.0,49983.665,7289.168
1164,13369,Russia,1350000000000.0,88.521,6.131,11.479,5.348,145216000.0,50004.193,7261.409
1165,13370,Russia,1470000000000.0,88.739,5.735,11.261,5.526,144611008.0,51256.564,7412.263
1166,13371,Russia,1660000000000.0,88.38,6.379,11.62,5.241,144080992.0,51875.522,7474.277
1167,13372,Russia,1930000000000.0,88.38,6.235,11.62,5.384,143672000.0,51965.965,7466.054
1168,13373,Russia,2210000000000.0,88.668,5.964,11.332,5.368,143403008.0,54316.542,7789.155
1169,13374,Russia,2560000000000.0,88.556,6.018,11.444,5.426,143266000.0,54694.896,7835.919
1170,13375,Russia,2870000000000.0,88.988,5.543,11.012,5.469,143248992.0,54947.316,7871.148
1171,13376,Russia,2560000000000.0,88.132,6.129,11.868,5.739,143327008.0,52171.609,7477.601
1172,13377,Russia,2910000000000.0,88.686,5.6,11.314,5.714,143479008.0,54197.161,7776.155
1173,13378,Russia,3320000000000.0,89.141,5.279,10.859,5.58,143703008.0,55893.921,8032.125
1174,13379,Russia,3420000000000.0,89.073,5.246,10.927,5.68,143994000.0,55905.837,8050.105
1175,13380,Russia,3430000000000.0,88.59,5.852,11.41,5.558,144324992.0,55059.972,7946.53
1176,13381,Russia,3420000000000.0,88.672,5.56,11.328,5.769,144664992.0,55122.079,7974.235
1177,13382,Russia,3330000000000.0,88.206,5.468,11.794,6.326,144984992.0,53914.33,7816.769
1178,13383,Russia,3320000000000.0,87.966,5.845,12.034,6.189,145275008.0,54990.735,7988.779
1179,13384,Russia,,87.858,5.809,12.142,6.332,145530000.0,55109.15,8020.035
1180,13385,Russia,,88.186,5.72,11.814,6.094,145734000.0,57252.662,8343.659
1181,13386,Russia,,87.881,5.868,12.119,6.251,145872000.0,56756.466,8279.179
1182,13387,Russia,,,,,,,,
1183,13743,Saudi Arabia,423000000000.0,100.0,0.0,0.0,0.0,20664000.0,64600.546,1334.906
1184,13744,Saudi Arabia,405000000000.0,100.0,0.0,0.0,0.0,21203000.0,67082.893,1422.359
1185,13745,Saudi Arabia,450000000000.0,100.0,0.0,0.0,0.0,21805000.0,67938.954,1481.409
1186,13746,Saudi Arabia,482000000000.0,100.0,0.0,0.0,0.0,22457000.0,69876.532,1569.217
