,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
2112,Botswana,,,,,2254000.0
2113,Botswana,,,,,2304000.0
2214,Brazil,1470.0,57.39,41.859,0.752,174790000.0
2215,Brazil,1460.0,60.381,37.819,1.799,177196000.0
2216,Brazil,1480.0,58.828,39.48,1.692,179538000.0
2217,Brazil,1480.0,57.466,40.939,1.595,181808992.0
2218,Brazil,1560.0,57.772,40.915,1.314,184006000.0
2219,Brazil,1630.0,57.163,41.76,1.077,186127008.0
2220,Brazil,1770.0,56.907,41.636,1.458,188167008.0
2221,Brazil,1970.0,55.785,42.989,1.226,190130000.0
2222,Brazil,2210.0,56.665,42.015,1.32,192030000.0
2223,Brazil,2300.0,53.828,44.945,1.226,193887008.0
2224,Brazil,2660.0,55.891,42.868,1.241,195714000.0
2225,Brazil,2970.0,56.277,42.45,1.272,197515008.0
2226,Brazil,2960.0,58.099,40.629,1.272,199287008.0
2227,Brazil,3040.0,60.476,38.35,1.174,201036000.0
2228,Brazil,3040.0,61.466,37.398,1.136,202764000.0
2229,Brazil,3180.0,60.271,38.632,1.097,204472000.0
2230,Brazil,2810.0,57.328,41.467,1.205,206163008.0
2231,Brazil,,57.676,41.15,1.174,207834000.0
2232,Brazil,,55.054,43.79,1.156,209468992.0
2233,Brazil,,53.822,45.017,1.162,211050000.0
2234,Brazil,,,,,
2255,British Virgin Islands,,,,,20000.0
2256,British Virgin Islands,,,,,21000.0
2257,British Virgin Islands,,,,,21000.0
2258,British Virgin Islands,,,,,22000.0
2259,British Virgin Islands,,,,,22000.0
2260,British Virgin Islands,,,,,23000.0
2261,British Virgin Islands,,,,,24000.0
2262,British Virgin Islands,,,,,25000.0
2263,British Virgin Islands,,,,,26000.0
2264,British Virgin Islands,,,,,27000.0
2265,British Virgin Islands,,,,,28000.0
2266,British Virgin Islands,,,,,28000.0
2267,British Virgin Islands,,,,,29000.0
2268,British Virgin Islands,,,,,29000.0
2269,British Virgin Islands,,,,,29000.0
2270,British Virgin Islands,,,,,29000.0
2271,British Virgin Islands,,,,,29000.0
2272,British Virgin Islands,,,,,30000.0
2273,British Virgin Islands,,,,,30000.0
2274,British Virgin Islands,,,,,30000.0
2375,Brunei,,,,,333000.0
2376,Brunei,,,,,340000.0
2377,Brunei,,,,,347000.0
2378,Brunei,,,,,353000.0
2379,Brunei,,,,,359000.0
2380,Brunei,,,,,365000.0
2381,Brunei,,,,,370000.0
2382,Brunei,,,,,375000.0
2383,Brunei,,,,,379000.0
2384,Brunei,,,,,384000.0
2385,Brunei,,,,,389000.0
2386,Brunei,,,,,394000.0
2387,Brunei,,,,,399000.0
2388,Brunei,,,,,404000.0
2389,Brunei,,,,,410000.0
2390,Brunei,,,,,415000.0
2391,Brunei,,,,,420000.0
2392,Brunei,,,,,424000.0
2393,Brunei,,,,,429000.0
2394,Brunei,,,,,433000.0
2495,Bulgaria,68.57893888,73.152,3.442,23.406,7998000.0
2496,Bulgaria,71.572488192,73.873,2.132,23.996,7931000.0
2497,Bulgaria,75.092246528,71.873,2.753,25.374,7866000.0
2498,Bulgaria,76.743450624,75.415,3.667,20.919,7804000.0
2499,Bulgaria,80.431669248,75.192,3.934,20.874,7745000.0
2500,Bulgaria,84.49732608,73.755,4.956,21.289,7687000.0
2501,Bulgaria,92.283183104,73.701,4.715,21.584,7631000.0
2502,Bulgaria,103.0,80.049,3.318,16.633,7577000.0
2503,Bulgaria,110.0,78.504,3.399,18.089,7524000.0
2504,Bulgaria,110.0,75.315,4.831,19.824,7474000.0
2505,Bulgaria,111.0,73.787,7.188,18.937,7425000.0
2506,Bulgaria,111.0,76.418,4.566,18.929,7379000.0
2507,Bulgaria,115.0,73.919,6.465,19.156,7334000.0
