,country,gdp,low_carbon_share_energy,population,energy_per_capita
2224,Brazil,2660.0,44.109,195714000.0,15585.781
2225,Brazil,2970.0,43.723,197515008.0,16148.863
2226,Brazil,2960.0,41.901,199287008.0,16291.789
2227,Brazil,3040.0,39.524,201036000.0,16761.084
2228,Brazil,3040.0,38.534,202764000.0,16989.477
2229,Brazil,3180.0,39.729,204472000.0,16619.27
2230,Brazil,2810.0,42.672,206163008.0,16058.664
2231,Brazil,,42.324,207834000.0,16123.593
2232,Brazil,,44.946,209468992.0,16091.379
2233,Brazil,,46.178,211050000.0,16325.047
2234,Brazil,,,,
2255,British Virgin Islands,,,20000.0,21893.271
2256,British Virgin Islands,,,21000.0,21340.039
2257,British Virgin Islands,,,21000.0,22572.908
2258,British Virgin Islands,,,22000.0,23018.376
2259,British Virgin Islands,,,22000.0,24195.206
2260,British Virgin Islands,,,23000.0,23808.272
2261,British Virgin Islands,,,24000.0,24855.596
2262,British Virgin Islands,,,25000.0,24736.074
2263,British Virgin Islands,,,26000.0,25556.292
2264,British Virgin Islands,,,27000.0,25794.158
2265,British Virgin Islands,,,28000.0,25630.385
2266,British Virgin Islands,,,28000.0,26229.284
2267,British Virgin Islands,,,29000.0,25236.918
2268,British Virgin Islands,,,29000.0,25236.918
2269,British Virgin Islands,,,29000.0,25640.104
2270,British Virgin Islands,,,29000.0,25747.708
2271,British Virgin Islands,,,29000.0,26163.925
2272,British Virgin Islands,,,30000.0,
2273,British Virgin Islands,,,30000.0,
2274,British Virgin Islands,,,30000.0,
2375,Brunei,,,333000.0,59100.597
2376,Brunei,,,340000.0,65813.08
2377,Brunei,,,347000.0,75299.59
2378,Brunei,,,353000.0,76577.04
2379,Brunei,,,359000.0,83615.852
2380,Brunei,,,365000.0,92646.392
2381,Brunei,,,370000.0,140851.635
2382,Brunei,,,375000.0,145892.692
2383,Brunei,,,379000.0,148257.982
2384,Brunei,,,384000.0,97074.735
2385,Brunei,,,389000.0,109150.927
2386,Brunei,,,394000.0,110697.612
2387,Brunei,,,399000.0,106260.682
2388,Brunei,,,404000.0,97603.853
2389,Brunei,,,410000.0,108164.477
2390,Brunei,,,415000.0,116331.721
2391,Brunei,,,420000.0,123822.666
2392,Brunei,,,424000.0,
2393,Brunei,,,429000.0,
2394,Brunei,,,433000.0,
2495,Bulgaria,68.57893888,26.848,7998000.0,26973.035
